Tanggal;LME Aluminium Cash;LME Aluminium 3 Months;LME Alumina 3 Months
01/06/2020;$1.551,50 ;$1.540,00 ;$255,75 
02/06/2020;$1.499,50 ;$1.529,00 ;$255,75 
03/06/2020;$1.526,00 ;$1.555,50 ;$255,75 
04/06/2020;$1.535,00 ;$1.560,50 ;$255,75 
05/06/2020;$1.553,50 ;$1.579,00 ;$255,75 
06/06/2020;$1.553,50 ;$1.579,00 ;$255,75 
07/06/2020;$1.553,50 ;$1.579,00 ;$255,75 
08/06/2020;$1.569,50 ;$1.596,00 ;$255,75 
09/06/2020;$1.565,50 ;$1.592,50 ;$255,75 
10/06/2020;$1.613,50 ;$1.638,00 ;$255,75 
11/06/2020;$1.582,00 ;$1.605,50 ;$255,75 
12/06/2020;$1.560,00 ;$1.586,50 ;$255,75 
13/06/2020;$1.560,00 ;$1.586,50 ;$255,75 
14/06/2020;$1.560,00 ;$1.586,50 ;$255,75 
15/06/2020;$1.546,00 ;$1.570,50 ;$255,75 
16/06/2020;$1.573,50 ;$1.595,50 ;$255,75 
17/06/2020;$1.577,50 ;$1.600,00 ;$255,75 
18/06/2020;$1.586,50 ;$1.608,00 ;$264,00 
19/06/2020;$1.578,00 ;$1.599,00 ;$264,00 
20/06/2020;$1.578,00 ;$1.599,00 ;$264,00 
21/06/2020;$1.578,00 ;$1.599,00 ;$264,00 
22/06/2020;$1.573,00 ;$1.590,50 ;$264,00 
23/06/2020;$1.577,50 ;$1.598,00 ;$264,00 
24/06/2020;$1.564,00 ;$1.586,50 ;$264,00 
25/06/2020;$1.543,50 ;$1.563,50 ;$264,00 
26/06/2020;$1.582,00 ;$1.597,50 ;$264,00 
27/06/2020;$1.582,00 ;$1.597,50 ;$264,00 
28/06/2020;$1.582,00 ;$1.597,50 ;$264,00 
29/06/2020;$1.589,00 ;$1.607,00 ;$264,00 
30/06/2020;$1.602,00 ;$1.621,50 ;$264,00 
01/07/2020;$1.593,50 ;$1.614,00 ;$264,00 
02/07/2020;$1.601,50 ;$1.621,50 ;$264,00 
03/07/2020;$1.581,50 ;$1.614,00 ;$264,00 
04/07/2020;$1.581,50 ;$1.614,00 ;$264,00 
05/07/2020;$1.581,50 ;$1.614,00 ;$264,00 
06/07/2020;$1.593,00 ;$1.626,00 ;$264,00 
07/07/2020;$1.596,50 ;$1.630,00 ;$264,00 
08/07/2020;$1.619,00 ;$1.651,00 ;$264,00 
09/07/2020;$1.659,50 ;$1.687,00 ;$264,00 
10/07/2020;$1.639,50 ;$1.669,00 ;$264,00 
11/07/2020;$1.639,50 ;$1.669,00 ;$264,00 
12/07/2020;$1.639,50 ;$1.669,00 ;$264,00 
13/07/2020;$1.664,50 ;$1.695,50 ;$264,00 
14/07/2020;$1.640,00 ;$1.675,00 ;$264,00 
15/07/2020;$1.651,00 ;$1.686,00 ;$264,00 
16/07/2020;$1.627,00 ;$1.660,50 ;$264,00 
17/07/2020;$1.618,00 ;$1.654,50 ;$264,00 
18/07/2020;$1.618,00 ;$1.654,50 ;$264,00 
19/07/2020;$1.618,00 ;$1.654,50 ;$264,00 
20/07/2020;$1.621,00 ;$1.658,00 ;$264,00 
21/07/2020;$1.646,50 ;$1.682,50 ;$264,00 
22/07/2020;$1.651,00 ;$1.686,50 ;$264,00 
23/07/2020;$1.661,00 ;$1.697,50 ;$264,00 
24/07/2020;$1.654,50 ;$1.692,00 ;$264,00 
25/07/2020;$1.654,50 ;$1.692,00 ;$264,00 
26/07/2020;$1.654,50 ;$1.692,00 ;$264,00 
27/07/2020;$1.661,50 ;$1.700,50 ;$264,00 
28/07/2020;$1.671,00 ;$1.709,00 ;$264,00 
29/07/2020;$1.687,00 ;$1.726,50 ;$271,75 
30/07/2020;$1.681,50 ;$1.719,00 ;$275,00 
31/07/2020;$1.685,50 ;$1.722,00 ;$275,00 
01/08/2020;$1.685,50 ;$1.722,00 ;$275,00 
;;;
